noise,total_experiments_used,parameter,name,estimate,true_value,relative_error,rms_normalized_parameter_error,cumulative_information
1e-05,10,p1,A1,333.5315619493129,15672.02,-0.9787180234616015,0.12465103122319975,46.54312935013217
1e-05,10,p2,E1,832.9986408555458,3453.38,-0.7587874369876625,0.12465103122319975,46.54312935013217
1e-05,10,p3,"K_ads,1",8.474514433292672,30.836,-0.7251746519233145,0.12465103122319975,46.54312935013217
1e-05,10,p4,"K_ads,2",159.41050139554306,558.532,-0.7145902089843679,0.12465103122319975,46.54312935013217
1e-05,10,p5,A2,0.20857245601504074,0.7439,-0.7196229923174611,0.12465103122319975,46.54312935013217
1e-05,10,p6,E2,53612.97138779119,40000.0,0.3403242846947798,0.12465103122319975,46.54312935013217
1e-05,10,p7,"K_ads,3",22341.31210070585,17197.0,0.29914008842855444,0.12465103122319975,46.54312935013217
1e-05,10,p8,"K_ads,4",126862.34307960213,124119.0,0.02210252322047493,0.12465103122319975,46.54312935013217
1e-05,10,p9,Inhibition / adsorption,93057.81585814117,98084.0,-0.051243670138440826,0.12465103122319975,46.54312935013217
1e-05,14,p1,A1,1550.4835562338417,15672.02,-0.9010667701908343,0.08751232695387177,48.20221529809964
1e-05,14,p2,E1,1431.3253543764888,3453.38,-0.5855291469874474,0.08751232695387177,48.20221529809964
1e-05,14,p3,"K_ads,1",14.261928820461119,30.836,-0.5374909579562486,0.08751232695387177,48.20221529809964
1e-05,14,p4,"K_ads,2",264.3210085420407,558.532,-0.5267576279567855,0.08751232695387177,48.20221529809964
1e-05,14,p5,A2,0.34776127099953275,0.7439,-0.5325161029714576,0.08751232695387177,48.20221529809964
1e-05,14,p6,E2,55306.523393293166,40000.0,0.38266308483232914,0.08751232695387177,48.20221529809964
1e-05,14,p7,"K_ads,3",22862.691679307325,17197.0,0.3294581426590292,0.08751232695387177,48.20221529809964
1e-05,14,p8,"K_ads,4",128108.5821721744,124119.0,0.032143202669812035,0.08751232695387177,48.20221529809964
1e-05,14,p9,Inhibition / adsorption,92613.64434502207,98084.0,-0.05577215096221536,0.08751232695387177,48.20221529809964
1e-05,18,p1,A1,1079.038786651754,15672.02,-0.9311487104628661,0.09882884208128391,52.217372235055755
1e-05,18,p2,E1,1256.278238575146,3453.38,-0.6362177812533963,0.09882884208128391,52.217372235055755
1e-05,18,p3,"K_ads,1",12.654101497411856,30.836,-0.5896321994612836,0.09882884208128391,52.217372235055755
1e-05,18,p4,"K_ads,2",234.2281268083285,558.532,-0.5806361554784175,0.09882884208128391,52.217372235055755
1e-05,18,p5,A2,0.3104841775314457,0.7439,-0.5826264584871008,0.09882884208128391,52.217372235055755
1e-05,18,p6,E2,56642.65223545024,40000.0,0.4160663058862559,0.09882884208128391,52.217372235055755
1e-05,18,p7,"K_ads,3",23499.522243546213,17197.0,0.3664896344447411,0.09882884208128391,52.217372235055755
1e-05,18,p8,"K_ads,4",128284.51869831071,124119.0,0.03356068529645512,0.09882884208128391,52.217372235055755
1e-05,18,p9,Inhibition / adsorption,91696.42614161152,98084.0,-0.0651235049385066,0.09882884208128391,52.217372235055755
1e-05,22,p1,A1,1948.942747835105,15672.02,-0.875641892504278,0.06360535397732621,53.612507727243475
1e-05,22,p2,E1,1674.0220612712178,3453.38,-0.515251127512403,0.06360535397732621,53.612507727243475
1e-05,22,p3,"K_ads,1",15.23795306272699,30.836,-0.5058388551457066,0.06360535397732621,53.612507727243475
1e-05,22,p4,"K_ads,2",284.51732874289655,558.532,-0.49059798052233977,0.06360535397732621,53.612507727243475
1e-05,22,p5,A2,0.3759558756271342,0.7439,-0.49461503478003205,0.06360535397732621,53.612507727243475
1e-05,22,p6,E2,44234.89108947789,40000.0,0.10587227723694723,0.06360535397732621,53.612507727243475
1e-05,22,p7,"K_ads,3",18583.10310192466,17197.0,0.08060144803888226,0.06360535397732621,53.612507727243475
1e-05,22,p8,"K_ads,4",124712.22249633899,124119.0,0.004779465644574875,0.06360535397732621,53.612507727243475
1e-05,22,p9,Inhibition / adsorption,96093.44420533626,98084.0,-0.020294398624278596,0.06360535397732621,53.612507727243475
1e-05,26,p1,A1,433.04547248132377,15672.02,-0.9723682414595359,0.10718796340773196,54.58402789788381
1e-05,26,p2,E1,999.9861232099684,3453.38,-0.7104326418726093,0.10718796340773196,54.58402789788381
1e-05,26,p3,"K_ads,1",9.127174814453037,30.836,-0.7040091187426049,0.10718796340773196,54.58402789788381
1e-05,26,p4,"K_ads,2",173.4816280454439,558.532,-0.6893971553188646,0.10718796340773196,54.58402789788381
1e-05,26,p5,A2,0.22767456607445888,0.7439,-0.6939446618168317,0.10718796340773196,54.58402789788381
1e-05,26,p6,E2,44137.188222447825,40000.0,0.10342970556119563,0.10718796340773196,54.58402789788381
1e-05,26,p7,"K_ads,3",18450.678267158404,17197.0,0.07290098663478538,0.10718796340773196,54.58402789788381
1e-05,26,p8,"K_ads,4",124371.0835165857,124119.0,0.0020309824973267494,0.10718796340773196,54.58402789788381
1e-05,26,p9,Inhibition / adsorption,95920.77541358194,98084.0,-0.022054816141450783,0.10718796340773196,54.58402789788381
1e-05,30,p1,A1,550.6141118111512,15672.02,-0.9648664236128367,0.1037781150512822,55.55146759923275
1e-05,30,p2,E1,1066.4759923640609,3453.38,-0.6911790789417728,0.1037781150512822,55.55146759923275
1e-05,30,p3,"K_ads,1",9.97700328574449,30.836,-0.6764494978030715,0.1037781150512822,55.55146759923275
1e-05,30,p4,"K_ads,2",186.04967552057238,558.532,-0.6668952261990856,0.1037781150512822,55.55146759923275
1e-05,30,p5,A2,0.24417259211973433,0.7439,-0.6717669147469629,0.1037781150512822,55.55146759923275
1e-05,30,p6,E2,48139.05850965743,40000.0,0.20347646274143572,0.1037781150512822,55.55146759923275
1e-05,30,p7,"K_ads,3",20150.414192843848,17197.0,0.17174008215641376,0.1037781150512822,55.55146759923275
1e-05,30,p8,"K_ads,4",126201.56877885315,124119.0,0.01677880726442487,0.1037781150512822,55.55146759923275
1e-05,30,p9,Inhibition / adsorption,95218.07240996395,98084.0,-0.0292191141270345,0.1037781150512822,55.55146759923275
1e-05,34,p1,A1,1364.2339979076357,15672.02,-0.9129509790117908,0.07541948067458738,56.009016895751024
1e-05,34,p2,E1,1475.6366692496927,3453.38,-0.5726978585473673,0.07541948067458738,56.009016895751024
1e-05,34,p3,"K_ads,1",13.569080733208905,30.836,-0.5599597634839504,0.07541948067458738,56.009016895751024
1e-05,34,p4,"K_ads,2",250.1677907267517,558.532,-0.5520976582778575,0.07541948067458738,56.009016895751024
1e-05,34,p5,A2,0.3301523284719795,0.7439,-0.5561872180777262,0.07541948067458738,56.009016895751024
1e-05,34,p6,E2,45669.73555660043,40000.0,0.14174338891501084,0.07541948067458738,56.009016895751024
1e-05,34,p7,"K_ads,3",19208.49663329726,17197.0,0.11696788005450147,0.07541948067458738,56.009016895751024
1e-05,34,p8,"K_ads,4",125782.1499827714,124119.0,0.013399640528616889,0.07541948067458738,56.009016895751024
1e-05,34,p9,Inhibition / adsorption,96096.31668759904,98084.0,-0.020265112683016163,0.07541948067458738,56.009016895751024
1e-05,38,p1,A1,713.982153542576,15672.02,-0.9544422382346005,0.09166958506561253,56.72672949193845
1e-05,38,p2,E1,1209.1602053188456,3453.38,-0.6498618149989733,0.09166958506561253,56.72672949193845
1e-05,38,p3,"K_ads,1",10.832474193089181,30.836,-0.648706894762966,0.09166958506561253,56.72672949193845
1e-05,38,p4,"K_ads,2",202.0064265261452,558.532,-0.6383261361459233,0.09166958506561253,56.72672949193845
1e-05,38,p5,A2,0.26632130133952137,0.7439,-0.6419931424391432,0.09166958506561253,56.72672949193845
1e-05,38,p6,E2,42458.06826295486,40000.0,0.06145170657387152,0.09166958506561253,56.72672949193845
1e-05,38,p7,"K_ads,3",17779.25424633661,17197.0,0.03385789651314832,0.09166958506561253,56.72672949193845
1e-05,38,p8,"K_ads,4",124918.40916181747,124119.0,0.006440667116375991,0.09166958506561253,56.72672949193845
1e-05,38,p9,Inhibition / adsorption,97110.95429715923,98084.0,-0.009920534468830483,0.09166958506561253,56.72672949193845
1e-05,42,p1,A1,1763.0241025124046,15672.02,-0.8875049864336311,0.06800086364468531,57.418874761910885
1e-05,42,p2,E1,1597.5891157045219,3453.38,-0.5373839207661706,0.06800086364468531,57.418874761910885
1e-05,42,p3,"K_ads,1",14.795123491142647,30.836,-0.5201996532902242,0.06800086364468531,57.418874761910885
1e-05,42,p4,"K_ads,2",273.64974422990025,558.532,-0.5100553876413523,0.06800086364468531,57.418874761910885
1e-05,42,p5,A2,0.35802800240002525,0.7439,-0.5187148778061228,0.06800086364468531,57.418874761910885
1e-05,42,p6,E2,45373.5241595959,40000.0,0.13433810398989754,0.06800086364468531,57.418874761910885
1e-05,42,p7,"K_ads,3",19174.753807531368,17197.0,0.1150057456260608,0.06800086364468531,57.418874761910885
1e-05,42,p8,"K_ads,4",125280.8142502974,124119.0,0.009360486712730471,0.06800086364468531,57.418874761910885
1e-05,42,p9,Inhibition / adsorption,96512.53044928968,98084.0,-0.016021670718061223,0.06800086364468531,57.418874761910885
1e-05,46,p1,A1,658.7487984383075,15672.02,-0.9579665672683989,0.10974416109220302,57.88905193329667
1e-05,46,p2,E1,1101.9049974246766,3453.38,-0.6809198531801666,0.10974416109220302,57.88905193329667
1e-05,46,p3,"K_ads,1",10.681057853570483,30.836,-0.6536172702824464,0.10974416109220302,57.88905193329667
1e-05,46,p4,"K_ads,2",197.36567932158323,558.532,-0.6466349657287618,0.10974416109220302,57.88905193329667
1e-05,46,p5,A2,0.25924647399920536,0.7439,-0.6515035972587642,0.10974416109220302,57.88905193329667
1e-05,46,p6,E2,55659.878935242,40000.0,0.39149697338105,0.10974416109220302,57.88905193329667
1e-05,46,p7,"K_ads,3",23441.641082757807,17197.0,0.3631238636249234,0.10974416109220302,57.88905193329667
1e-05,46,p8,"K_ads,4",128639.0149294889,124119.0,0.0364167849361411,0.10974416109220302,57.88905193329667
1e-05,46,p9,Inhibition / adsorption,92909.77049112227,98084.0,-0.0527530434003276,0.10974416109220302,57.88905193329667
1e-05,50,p1,A1,788.3957460867132,15672.02,-0.9496940569188456,0.08852620829001963,58.31830144165175
1e-05,50,p2,E1,1256.9584312881116,3453.38,-0.6360208169132526,0.08852620829001963,58.31830144165175
1e-05,50,p3,"K_ads,1",11.204032608979825,30.836,-0.6366573936639051,0.08852620829001963,58.31830144165175
1e-05,50,p4,"K_ads,2",208.5175787601739,558.532,-0.6266685189744295,0.08852620829001963,58.31830144165175
1e-05,50,p5,A2,0.2744614521485919,0.7439,-0.6310506087530691,0.08852620829001963,58.31830144165175
1e-05,50,p6,E2,41800.16761686617,40000.0,0.045004190421654315,0.08852620829001963,58.31830144165175
1e-05,50,p7,"K_ads,3",17573.01282118527,17197.0,0.021865024201039227,0.08852620829001963,58.31830144165175
1e-05,50,p8,"K_ads,4",124722.67227885565,124119.0,0.00486365728740685,0.08852620829001963,58.31830144165175
1e-05,50,p9,Inhibition / adsorption,97711.96361326585,98084.0,-0.003793038484708527,0.08852620829001963,58.31830144165175
1e-05,54,p1,A1,434.642376125829,15672.02,-0.9722663462574813,0.10674096465621496,58.71888845091333
1e-05,54,p2,E1,1011.1838840977723,3453.38,-0.7071900908391858,0.10674096465621496,58.71888845091333
1e-05,54,p3,"K_ads,1",9.168716935349781,30.836,-0.7026619232277279,0.10674096465621496,58.71888845091333
1e-05,54,p4,"K_ads,2",171.38716752930588,558.532,-0.6931470935786922,0.10674096465621496,58.71888845091333
1e-05,54,p5,A2,0.22512172443473363,0.7439,-0.697376361829905,0.10674096465621496,58.71888845091333
1e-05,54,p6,E2,43367.61334193205,40000.0,0.08419033354830117,0.10674096465621496,58.71888845091333
1e-05,54,p7,"K_ads,3",18162.461870867784,17197.0,0.05614129620676772,0.10674096465621496,58.71888845091333
1e-05,54,p8,"K_ads,4",125075.93170115717,124119.0,0.007709792224858155,0.10674096465621496,58.71888845091333
1e-05,54,p9,Inhibition / adsorption,97194.35242637146,98084.0,-0.00907026195534986,0.10674096465621496,58.71888845091333
1e-05,58,p1,A1,1014.9118586878549,15672.02,-0.9352405204505958,0.08113023966962393,59.25142247053673
1e-05,58,p2,E1,1357.2986971413952,3453.38,-0.6069651480169008,0.08113023966962393,59.25142247053673
1e-05,58,p3,"K_ads,1",12.231627635153695,30.836,-0.6033328695306235,0.08113023966962393,59.25142247053673
1e-05,58,p4,"K_ads,2",226.7311617731852,558.532,-0.5940587794912643,0.08113023966962393,59.25142247053673
1e-05,58,p5,A2,0.2981270618580318,0.7439,-0.5992377176259823,0.08113023966962393,59.25142247053673
1e-05,58,p6,E2,41701.43072540596,40000.0,0.04253576813514901,0.08113023966962393,59.25142247053673
1e-05,58,p7,"K_ads,3",17532.423798388863,17197.0,0.019504785624752188,0.08113023966962393,59.25142247053673
1e-05,58,p8,"K_ads,4",124706.60032954851,124119.0,0.00473416905992244,0.08113023966962393,59.25142247053673
1e-05,58,p9,Inhibition / adsorption,97863.51773545514,98084.0,-0.002247892261172653,0.08113023966962393,59.25142247053673
1e-05,62,p1,A1,1443.4042791255813,15672.02,-0.9078992829816717,0.0730952057885419,59.651843524683564
1e-05,62,p2,E1,1505.1719044043869,3453.38,-0.56414529984989,0.0730952057885419,59.651843524683564
1e-05,62,p3,"K_ads,1",13.847879805375666,30.836,-0.5509184133682816,0.0730952057885419,59.651843524683564
1e-05,62,p4,"K_ads,2",254.29674760159364,558.532,-0.5447051420480946,0.0730952057885419,59.651843524683564
1e-05,62,p5,A2,0.3365812131160903,0.7439,-0.5475450825163459,0.0730952057885419,59.651843524683564
1e-05,62,p6,E2,44901.20576240986,40000.0,0.1225301440602465,0.0730952057885419,59.651843524683564
1e-05,62,p7,"K_ads,3",18967.049446386645,17197.0,0.1029278040580709,0.0730952057885419,59.651843524683564
1e-05,62,p8,"K_ads,4",125693.35264232056,124119.0,0.012684219517725427,0.0730952057885419,59.651843524683564
1e-05,62,p9,Inhibition / adsorption,96503.14655396953,98084.0,-0.01611734274734376,0.0730952057885419,59.651843524683564
1e-05,66,p1,A1,547.9030064758321,15672.02,-0.9650394137784516,0.10151487743994687,59.96146165912286
1e-05,66,p2,E1,1080.63197986577,3453.38,-0.6870799101559139,0.10151487743994687,59.96146165912286
1e-05,66,p3,"K_ads,1",9.960862721731658,30.836,-0.6769729302850026,0.10151487743994687,59.96146165912286
1e-05,66,p4,"K_ads,2",184.6624778693803,558.532,-0.6693788755713544,0.10151487743994687,59.96146165912286
1e-05,66,p5,A2,0.24358013905096146,0.7439,-0.6725633296801163,0.10151487743994687,59.96146165912286
1e-05,66,p6,E2,45595.330555969784,40000.0,0.1398832638992446,0.10151487743994687,59.96146165912286
1e-05,66,p7,"K_ads,3",19168.974561766903,17197.0,0.11466968434999728,0.10151487743994687,59.96146165912286
1e-05,66,p8,"K_ads,4",125685.86956246552,124119.0,0.012623929958068651,0.10151487743994687,59.96146165912286
1e-05,66,p9,Inhibition / adsorption,96455.20427560742,98084.0,-0.01660613070829674,0.10151487743994687,59.96146165912286
1e-05,70,p1,A1,1024.3908201408544,15672.02,-0.9346356870307175,0.08192416854774927,60.193441212820815
1e-05,70,p2,E1,1344.414016596826,3453.38,-0.610696182697292,0.08192416854774927,60.193441212820815
1e-05,70,p3,"K_ads,1",12.278646159405017,30.836,-0.6018080762937794,0.08192416854774927,60.193441212820815
1e-05,70,p4,"K_ads,2",228.01991050187647,558.532,-0.591751393829044,0.08192416854774927,60.193441212820815
1e-05,70,p5,A2,0.30056501483630854,0.7439,-0.5959604586149906,0.08192416854774927,60.193441212820815
1e-05,70,p6,E2,43820.74018798824,40000.0,0.09551850469970595,0.08192416854774927,60.193441212820815
1e-05,70,p7,"K_ads,3",18364.640626125627,17197.0,0.06789792557571826,0.08192416854774927,60.193441212820815
1e-05,70,p8,"K_ads,4",125199.41941049433,124119.0,0.008704706052210628,0.08192416854774927,60.193441212820815
1e-05,70,p9,Inhibition / adsorption,96846.18471025144,98084.0,-0.012619951161744587,0.08192416854774927,60.193441212820815
1e-05,74,p1,A1,1202.678665743289,15672.02,-0.9232594990471369,0.08470974132931598,60.552974503678264
1e-05,74,p2,E1,1380.0003965416083,3453.38,-0.6003913856738592,0.08470974132931598,60.552974503678264
1e-05,74,p3,"K_ads,1",13.067594458577274,30.836,-0.5762227766708627,0.08470974132931598,60.552974503678264
1e-05,74,p4,"K_ads,2",240.10728598869426,558.532,-0.5701100635439076,0.08470974132931598,60.552974503678264
1e-05,74,p5,A2,0.3158068021963765,0.7439,-0.5754714313800557,0.08470974132931598,60.552974503678264
1e-05,74,p6,E2,49790.94251483758,40000.0,0.24477356287093954,0.08470974132931598,60.552974503678264
1e-05,74,p7,"K_ads,3",21031.730247073905,17197.0,0.22298832628213672,0.08470974132931598,60.552974503678264
1e-05,74,p8,"K_ads,4",126904.19553955118,124119.0,0.02243971945915755,0.08470974132931598,60.552974503678264
1e-05,74,p9,Inhibition / adsorption,95104.08611748577,98084.0,-0.030381243449637343,0.08470974132931598,60.552974503678264
1e-05,78,p1,A1,1863.231250122933,15672.02,-0.8811109703712136,0.08646071580611764,60.97379680619987
1e-05,78,p2,E1,1555.599870187178,3453.38,-0.5495428043866653,0.08646071580611764,60.97379680619987
1e-05,78,p3,"K_ads,1",15.253200519060579,30.836,-0.5053443858133163,0.08646071580611764,60.97379680619987
1e-05,78,p4,"K_ads,2",276.45046374091606,558.532,-0.5050409578306775,0.08646071580611764,60.97379680619987
1e-05,78,p5,A2,0.36432343501547637,0.7439,-0.5102521373632526,0.08646071580611764,60.97379680619987
1e-05,78,p6,E2,56345.99092800751,40000.0,0.4086497732001877,0.08646071580611764,60.97379680619987
