noise,total_experiments_used,parameter,name,estimate,true_value,relative_error,rms_normalized_parameter_error,cumulative_information
1e-05,10,p1,A1,39180.092445419206,15672.02,1.5000027083566256,0.13057052292870824,46.54312935013217
1e-05,10,p2,E1,9881.084662239615,3453.38,1.8612792864496854,0.13057052292870824,46.54312935013217
1e-05,10,p3,"K_ads,1",94.97142286535714,30.836,2.0798878864105963,0.13057052292870824,46.54312935013217
1e-05,10,p4,"K_ads,2",121.97251944382495,558.532,-0.7816194605791165,0.13057052292870824,46.54312935013217
1e-05,10,p5,A2,0.1000441746451996,0.7439,-0.8655139472439849,0.13057052292870824,46.54312935013217
1e-05,10,p6,E2,64799.27762504107,40000.0,0.6199819406260267,0.13057052292870824,46.54312935013217
1e-05,10,p7,"K_ads,3",10000.50759770516,17197.0,-0.41847371066435074,0.13057052292870824,46.54312935013217
1e-05,10,p8,"K_ads,4",149594.1063762031,124119.0,0.2052474349310186,0.13057052292870824,46.54312935013217
1e-05,10,p9,Inhibition / adsorption,149593.86364559672,98084.0,0.5251607157701228,0.13057052292870824,46.54312935013217
1e-05,14,p1,A1,1838.1200813775906,15672.02,-0.8827132634224822,0.2393931558903445,48.20221529809964
1e-05,14,p2,E1,205.62103751995443,3453.38,-0.9404580331385616,0.2393931558903445,48.20221529809964
1e-05,14,p3,"K_ads,1",18.00304648883689,30.836,-0.41616790475947296,0.2393931558903445,48.20221529809964
1e-05,14,p4,"K_ads,2",398.8513146665541,558.532,-0.2858935304216158,0.2393931558903445,48.20221529809964
1e-05,14,p5,A2,1.1505280762318333,0.7439,0.546616583185688,0.2393931558903445,48.20221529809964
1e-05,14,p6,E2,46687.614037767155,40000.0,0.16719035094417886,0.2393931558903445,48.20221529809964
1e-05,14,p7,"K_ads,3",14710.271047695049,17197.0,-0.14460248603273543,0.2393931558903445,48.20221529809964
1e-05,14,p8,"K_ads,4",40870.14274377698,124119.0,-0.6707180790710771,0.2393931558903445,48.20221529809964
1e-05,14,p9,Inhibition / adsorption,25072.35519061408,98084.0,-0.7443787448450911,0.2393931558903445,48.20221529809964
1e-05,18,p1,A1,151.00993192073088,15672.02,-0.9903643606937248,0.29162529935514475,52.217372235055755
1e-05,18,p2,E1,44.447873310672364,3453.38,-0.9871291681452165,0.29162529935514475,52.217372235055755
1e-05,18,p3,"K_ads,1",1399.2520951402532,30.836,44.377224514860984,0.29162529935514475,52.217372235055755
1e-05,18,p4,"K_ads,2",956.2366810021076,558.532,0.7120535278231284,0.29162529935514475,52.217372235055755
1e-05,18,p5,A2,1.1727866966413638,0.7439,0.5765381054461135,0.29162529935514475,52.217372235055755
1e-05,18,p6,E2,40229.86355514973,40000.0,0.005746588878743205,0.29162529935514475,52.217372235055755
1e-05,18,p7,"K_ads,3",30584.657646373515,17197.0,0.7784879715283779,0.29162529935514475,52.217372235055755
1e-05,18,p8,"K_ads,4",36105.23269466553,124119.0,-0.7091079311413602,0.29162529935514475,52.217372235055755
1e-05,18,p9,Inhibition / adsorption,31332.171842524665,98084.0,-0.6805577684176353,0.29162529935514475,52.217372235055755
1e-05,22,p1,A1,149.0518917985881,15672.02,-0.990489299286334,0.2895496482527826,53.612507727243475
1e-05,22,p2,E1,43.97034975247826,3453.38,-0.9872674452992494,0.2895496482527826,53.612507727243475
1e-05,22,p3,"K_ads,1",1006.2306965598561,30.836,31.63168687767078,0.2895496482527826,53.612507727243475
1e-05,22,p4,"K_ads,2",862.9105352408818,558.532,0.5449616767542088,0.2895496482527826,53.612507727243475
1e-05,22,p5,A2,1.90853830372785,0.7439,1.5655844921734776,0.2895496482527826,53.612507727243475
1e-05,22,p6,E2,40180.60766084122,40000.0,0.004515191521030465,0.2895496482527826,53.612507727243475
1e-05,22,p7,"K_ads,3",30950.199535460564,17197.0,0.7997441144071968,0.2895496482527826,53.612507727243475
1e-05,22,p8,"K_ads,4",36202.78923381217,124119.0,-0.708321939156679,0.2895496482527826,53.612507727243475
1e-05,22,p9,Inhibition / adsorption,31699.4925074116,98084.0,-0.6768128083335548,0.2895496482527826,53.612507727243475
1e-05,26,p1,A1,13562.788384558946,15672.02,-0.1345858169809032,0.15783508544699254,54.58402789788381
1e-05,26,p2,E1,54.55366977556354,3453.38,-0.9842028187527688,0.15783508544699254,54.58402789788381
1e-05,26,p3,"K_ads,1",67.75827692974731,30.836,1.1973756949587273,0.15783508544699254,54.58402789788381
1e-05,26,p4,"K_ads,2",83.27311161747159,558.532,-0.8509071787874793,0.15783508544699254,54.58402789788381
1e-05,26,p5,A2,0.19961237673635412,0.7439,-0.7316677285436831,0.15783508544699254,54.58402789788381
1e-05,26,p6,E2,60721.90355442035,40000.0,0.5180475888605087,0.15783508544699254,54.58402789788381
1e-05,26,p7,"K_ads,3",10780.365829731509,17197.0,-0.3731252061562186,0.15783508544699254,54.58402789788381
1e-05,26,p8,"K_ads,4",148659.39698734574,124119.0,0.19771668308112167,0.15783508544699254,54.58402789788381
1e-05,26,p9,Inhibition / adsorption,80892.31083726762,98084.0,-0.1752751637650624,0.15783508544699254,54.58402789788381
1e-05,30,p1,A1,20192.982611729596,15672.02,0.28847350958776186,0.11207156816137753,55.55146759923275
1e-05,30,p2,E1,9882.233055361734,3453.38,1.8616118282267615,0.11207156816137753,55.55146759923275
1e-05,30,p3,"K_ads,1",76.85083085561075,30.836,1.492243833688246,0.11207156816137753,55.55146759923275
1e-05,30,p4,"K_ads,2",99.38608292095982,558.532,-0.822058390708214,0.11207156816137753,55.55146759923275
1e-05,30,p5,A2,0.10003365473418473,0.7439,-0.8655280888100757,0.11207156816137753,55.55146759923275
1e-05,30,p6,E2,73487.76323396254,40000.0,0.8371940808490635,0.11207156816137753,55.55146759923275
1e-05,30,p7,"K_ads,3",15139.357116765394,17197.0,-0.1196512695955461,0.11207156816137753,55.55146759923275
1e-05,30,p8,"K_ads,4",149571.16719754375,124119.0,0.20506261891848748,0.11207156816137753,55.55146759923275
1e-05,30,p9,Inhibition / adsorption,120730.03219664276,98084.0,0.23088406056688918,0.11207156816137753,55.55146759923275
1e-05,34,p1,A1,45654.08275934829,15672.02,1.913094978142466,0.11717509112537267,56.009016895751024
1e-05,34,p2,E1,9884.75854986423,3453.38,1.8623431391460623,0.11717509112537267,56.009016895751024
1e-05,34,p3,"K_ads,1",100.537190766939,30.836,2.2603836673673308,0.11717509112537267,56.009016895751024
1e-05,34,p4,"K_ads,2",127.85278512938855,558.532,-0.7710913875491672,0.11717509112537267,56.009016895751024
1e-05,34,p5,A2,0.10000893953142528,0.7439,-0.865561312634191,0.11717509112537267,56.009016895751024
1e-05,34,p6,E2,68194.69582846186,40000.0,0.7048673957115464,0.11717509112537267,56.009016895751024
1e-05,34,p7,"K_ads,3",13014.107619991142,17197.0,-0.24323384194969225,0.11717509112537267,56.009016895751024
1e-05,34,p8,"K_ads,4",149588.68866734434,124119.0,0.20520378561980307,0.11717509112537267,56.009016895751024
1e-05,34,p9,Inhibition / adsorption,137082.91140665114,98084.0,0.3976072693472038,0.11717509112537267,56.009016895751024
1e-05,38,p1,A1,75777.46648159718,15672.02,3.835207362011864,0.13167145163942737,56.72672949193845
1e-05,38,p2,E1,9884.798647524603,3453.38,1.8623547502807694,0.13167145163942737,56.72672949193845
1e-05,38,p3,"K_ads,1",116.24620673834866,30.836,2.7698212069771913,0.13167145163942737,56.72672949193845
