noise,total_experiments_used,parameter,name,estimate,true_value,relative_error,rms_normalized_parameter_error,cumulative_information
1e-07,12,p1,A1,398.893291,15672.02,-0.9745474233059938,0.3510049627837768,
1e-07,12,p2,E1,7.40493563,3453.38,-0.9978557425971077,0.3510049627837768,
1e-07,12,p3,"K_ads,1",0.608606097,30.836,-0.9802631308535479,0.3510049627837768,
1e-07,12,p4,"K_ads,2",9.77895883,558.532,-0.9824916766989179,0.3510049627837768,
1e-07,12,p5,A2,7.04055406,0.7439,8.464382390106197,0.3510049627837768,
1e-07,12,p6,E2,28829.1882,40000.0,-0.279270295,0.3510049627837768,
1e-07,12,p7,"K_ads,3",24399.4564,17197.0,0.41882051520614055,0.3510049627837768,
1e-07,12,p8,"K_ads,4",27371.1673,124119.0,-0.7794764113471749,0.3510049627837768,
1e-07,12,p9,Inhibition / adsorption,27740.788,98084.0,-0.7171731577015619,0.3510049627837768,
1e-07,14,p1,A1,0.114727729,15672.02,-0.9999926794549139,0.5116734667616671,
1e-07,14,p2,E1,3.52362256,3453.38,-0.9989796597652155,0.5116734667616671,
1e-07,14,p3,"K_ads,1",0.10977753,30.836,-0.9964399555714101,0.5116734667616671,
1e-07,14,p4,"K_ads,2",0.15035355,558.532,-0.9997308058446069,0.5116734667616671,
1e-07,14,p5,A2,0.555484041,0.7439,-0.25328129990590126,0.5116734667616671,
1e-07,14,p6,E2,27572.3049,40000.0,-0.3106923775,0.5116734667616671,
1e-07,14,p7,"K_ads,3",13084.3467,17197.0,-0.23914946211548527,0.5116734667616671,
1e-07,14,p8,"K_ads,4",14797.7566,124119.0,-0.8807776682055125,0.5116734667616671,
1e-07,14,p9,Inhibition / adsorption,41841.6034,98084.0,-0.5734105113983932,0.5116734667616671,
1e-07,16,p1,A1,0.114073358,15672.02,-0.9999927212090082,0.5080727106007407,
1e-07,16,p2,E1,3.6234636,3453.38,-0.9989507486578367,0.5080727106007407,
1e-07,16,p3,"K_ads,1",0.109173387,30.836,-0.9964595477039824,0.5080727106007407,
1e-07,16,p4,"K_ads,2",0.14594628,558.532,-0.9997386966548023,0.5080727106007407,
1e-07,16,p5,A2,0.554554627,0.7439,-0.2545306801989515,0.5080727106007407,
1e-07,16,p6,E2,27897.7182,40000.0,-0.302557045,0.5080727106007407,
1e-07,16,p7,"K_ads,3",13328.9234,17197.0,-0.22492740594289704,0.5080727106007407,
1e-07,16,p8,"K_ads,4",15639.433,124119.0,-0.8739964630717295,0.5080727106007407,
