noise,total_experiments_used,parameter,name,estimate,true_value,relative_error,rms_normalized_parameter_error,cumulative_information
1e-05,10,p1,A1,1273.4698543755444,15672.02,-0.9187424560219076,0.0867162331539218,
1e-05,10,p2,E1,1306.826409856414,3453.38,-0.621580477718521,0.0867162331539218,
1e-05,10,p3,"K_ads,1",13.494951663401276,30.836,-0.5623637416201429,0.0867162331539218,
1e-05,10,p4,"K_ads,2",243.61778007652342,558.532,-0.5638248478573772,0.0867162331539218,
1e-05,10,p5,A2,0.317695483270369,0.7439,-0.5729325403006197,0.0867162331539218,
1e-05,10,p6,E2,52424.14873443387,40000.0,0.3106037183608467,0.0867162331539218,
1e-05,10,p7,"K_ads,3",21325.697758530914,17197.0,0.24008244220101843,0.0867162331539218,
1e-05,10,p8,"K_ads,4",128528.8052579134,124119.0,0.0355288493938349,0.0867162331539218,
1e-05,10,p9,Inhibition / adsorption,95356.37240736032,98084.0,-0.027809098248844637,0.0867162331539218,
1e-05,14,p1,A1,1711.3954636844055,15672.02,-0.8907993057892725,0.08972831840706973,
1e-05,14,p2,E1,1523.6684304750756,3453.38,-0.5587892353360836,0.08972831840706973,
1e-05,14,p3,"K_ads,1",14.807490834264978,30.836,-0.5197985849570315,0.08972831840706973,
1e-05,14,p4,"K_ads,2",269.34103704096134,558.532,-0.5177697302196449,0.08972831840706973,
1e-05,14,p5,A2,0.34961787504710956,0.7439,-0.5300203319705478,0.08972831840706973,
1e-05,14,p6,E2,57286.27808543868,40000.0,0.432156952135967,0.08972831840706973,
1e-05,14,p7,"K_ads,3",23982.256490064145,17197.0,0.39456047508659325,0.08972831840706973,
1e-05,14,p8,"K_ads,4",129428.32630550681,124119.0,0.04277609637127925,0.08972831840706973,
1e-05,14,p9,Inhibition / adsorption,94328.69371290237,98084.0,-0.038286634793622085,0.08972831840706973,
1e-05,18,p1,A1,102.43630328728501,15672.02,-0.9934637460080268,0.25317342850181745,
1e-05,18,p2,E1,401.0491520939767,3453.38,-0.8838676450046109,0.25317342850181745,
1e-05,18,p3,"K_ads,1",6.96711148732915,30.836,-0.774059168266664,0.25317342850181745,
1e-05,18,p4,"K_ads,2",85.30400523567278,558.532,-0.8472710511919231,0.25317342850181745,
1e-05,18,p5,A2,0.1833580646440938,0.7439,-0.7535178590615758,0.25317342850181745,
1e-05,18,p6,E2,106744.59055987472,40000.0,1.668614763996868,0.25317342850181745,
1e-05,18,p7,"K_ads,3",54591.40639052254,17197.0,2.1744726632856044,0.25317342850181745,
1e-05,18,p8,"K_ads,4",136208.9543978993,124119.0,0.09740615375485866,0.25317342850181745,
1e-05,18,p9,Inhibition / adsorption,52140.151808560695,98084.0,-0.4684132803662096,0.25317342850181745,
1e-05,22,p1,A1,1787.0273642808581,15672.02,-0.8859733866929178,0.07243826267848569,
1e-05,22,p2,E1,1564.9280889845763,3453.38,-0.5468416192296891,0.07243826267848569,
1e-05,22,p3,"K_ads,1",15.05179851515633,30.836,-0.5118757778195508,0.07243826267848569,
1e-05,22,p4,"K_ads,2",271.5717949879173,558.532,-0.5137757639886035,0.07243826267848569,
1e-05,22,p5,A2,0.3561296504044961,0.7439,-0.5212667691833632,0.07243826267848569,
1e-05,22,p6,E2,48588.73225295647,40000.0,0.21471830632391176,0.07243826267848569,
1e-05,22,p7,"K_ads,3",20532.252182848908,17197.0,0.19394383804436285,0.07243826267848569,
1e-05,22,p8,"K_ads,4",126944.94021836677,124119.0,0.022767990544290316,0.07243826267848569,
1e-05,22,p9,Inhibition / adsorption,96808.53085032258,98084.0,-0.013003845170235895,0.07243826267848569,
1e-05,26,p1,A1,2449.404462318074,15672.02,-0.8437084394788882,0.05904441515321337,
1e-05,26,p2,E1,1849.4035033197206,3453.38,-0.464465681934881,0.05904441515321337,
