noise,experiment,methanol
1e-07,1,0.0007551852
1e-07,2,0.003345869
1e-07,3,0.005115842
1e-07,4,0.006518946
1e-07,5,0.008114248
1e-07,6,0.01069003
1e-07,7,0.01127564
1e-07,8,0.003806866
1e-07,8,0.005449413
1e-07,9,0.004890504
1e-07,9,0.005446844
1e-07,10,0.005449439
1e-07,11,0.007343564
1e-07,12,0.006866998
1e-07,13,0.007760768
1e-07,14,0.01221222
1e-07,15,0.004118483
1e-07,16,0.00586356
1e-07,17,0.006819312
1e-07,18,0.008092161
1e-07,19,0.008339318
1e-07,20,0.01058128
1e-07,21,0.01201915
1e-07,22,0.003285931
1e-07,23,0.002682651
1e-07,24,0.004583475
1e-07,25,0.005433839
1e-07,26,0.007302165
1e-07,27,0.01211667
1e-07,28,0.0130329
1e-07,29,0.005014789
1e-07,30,0.007750572
1e-06,2,0.0007552222
1e-06,3,0.005114026
1e-06,4,0.006518325
1e-06,5,0.008114977
1e-06,6,0.01068856
1e-06,7,0.0112746
1e-06,8,0.00380674
1e-06,9,0.004890715
1e-06,10,0.003806717
1e-06,11,0.007344747
1e-06,11,0.006863996
1e-06,12,0.006866781
1e-06,13,0.007760828
1e-06,14,0.0122122
1e-06,15,0.004118421
1e-06,16,0.005863263
1e-06,17,0.006819051
1e-06,17,0.008092193
1e-06,18,0.00809435
1e-06,19,0.00834051
1e-06,20,0.01058116
1e-06,21,0.01201924
1e-06,22,0.003286056
1e-06,23,0.002682672
1e-06,24,0.004583336
1e-06,25,0.005433956
1e-06,26,0.007301957
1e-06,27,0.01211645
1e-06,28,0.01303274
1e-06,29,0.00501497
1e-06,30,0.007750664
1e-05,2,0.0007549678
1e-05,3,0.00334595
1e-05,4,0.00334576
1e-05,5,0.005113917
1e-05,6,0.006518384
1e-05,7,0.008115078
1e-05,8,0.01068865
1e-05,9,0.01127456
1e-05,10,0.004890305
1e-05,11,0.007343642
1e-05,13,0.007759331
1e-05,14,0.01221199
1e-05,15,0.004119361
1e-05,16,0.005863267
1e-05,17,0.006819332
1e-05,19,0.0083393
1e-05,20,0.01058271
1e-05,21,0.01202011
1e-05,22,0.003285853
1e-05,23,0.002682842
1e-05,24,0.004583394
1e-05,25,0.005431602
1e-05,26,0.007301575
1e-05,27,0.01211597
1e-05,28,0.01303043
1e-05,29,0.005013712
1e-05,30,0.007750219
