noise,total_experiments_used,parameter,name,estimate,true_value,relative_error,rms_normalized_parameter_error,cumulative_information
1e-07,10,p1,A1,3.90505735,15672.02,-0.9997508261634428,0.3736556304263155,
1e-07,10,p2,E1,27.7460258,3453.38,-0.9919655451181162,0.3736556304263155,
1e-07,10,p3,"K_ads,1",0.791779401,30.836,-0.9743228887988066,0.3736556304263155,
1e-07,10,p4,"K_ads,2",0.566913466,558.532,-0.9989849937586388,0.3736556304263155,
1e-07,10,p5,A2,1.69256344,0.7439,1.275256674284178,0.3736556304263155,
1e-07,10,p6,E2,58535.9371,40000.0,0.46339842750000004,0.3736556304263155,
1e-07,10,p7,"K_ads,3",24879.4808,17197.0,0.4467337791475258,0.3736556304263155,
1e-07,10,p8,"K_ads,4",43139.0246,124119.0,-0.652438187545823,0.3736556304263155,
1e-07,10,p9,Inhibition / adsorption,28617.2177,98084.0,-0.7082376564985114,0.3736556304263155,
1e-07,11,p1,A1,0.229702686,15672.02,-0.9999853431347077,0.4553402539502543,
1e-07,11,p2,E1,7.57843817,3453.38,-0.9978055012277827,0.4553402539502543,
1e-07,11,p3,"K_ads,1",0.187201521,30.836,-0.9939291243676223,0.4553402539502543,
1e-07,11,p4,"K_ads,2",0.181005094,558.532,-0.9996759270838554,0.4553402539502543,
1e-07,11,p5,A2,0.680035266,0.7439,-0.08585123538109965,0.4553402539502543,
1e-07,11,p6,E2,48777.9438,40000.0,0.21944859500000002,0.4553402539502543,
1e-07,11,p7,"K_ads,3",27126.26,17197.0,0.5773832645228818,0.4553402539502543,
1e-07,11,p8,"K_ads,4",30255.7278,124119.0,-0.7562361298431345,0.4553402539502543,
1e-07,11,p9,Inhibition / adsorption,33884.469,98084.0,-0.6545362240528527,0.4553402539502543,
1e-07,12,p1,A1,460.473716,15672.02,-0.9706181005384117,0.3060529062711575,
1e-07,12,p2,E1,23.4701408,3453.38,-0.993203719023102,0.3060529062711575,
1e-07,12,p3,"K_ads,1",0.843641772,30.836,-0.9726410114152289,0.3060529062711575,
1e-07,12,p4,"K_ads,2",35.8012965,558.532,-0.9359010826595432,0.3060529062711575,
1e-07,12,p5,A2,35.3323981,0.7439,46.49616628579109,0.3060529062711575,
1e-07,12,p6,E2,40105.3837,40000.0,0.0026345924999999623,0.3060529062711575,
1e-07,12,p7,"K_ads,3",37247.5371,17197.0,1.165932261440949,0.3060529062711575,
1e-07,12,p8,"K_ads,4",36905.7696,124119.0,-0.7026581780388176,0.3060529062711575,
1e-07,12,p9,Inhibition / adsorption,38039.7511,98084.0,-0.6121716987480119,0.3060529062711575,
1e-07,13,p1,A1,433.620642,15672.02,-0.9723315410521426,0.3042374107859829,
1e-07,13,p2,E1,23.7041055,3453.38,-0.9931359695428826,0.3042374107859829,
1e-07,13,p3,"K_ads,1",1.13493186,30.836,-0.9631945823063951,0.3042374107859829,
1e-07,13,p4,"K_ads,2",37.6424499,558.532,-0.9326046674138635,0.3042374107859829,
1e-07,13,p5,A2,36.2955507,0.7439,47.79090025541067,0.3042374107859829,
1e-07,13,p6,E2,40056.8405,40000.0,0.0014210124999999606,0.3042374107859829,
1e-07,13,p7,"K_ads,3",37294.2892,17197.0,1.1686508809676106,0.3042374107859829,
1e-07,13,p8,"K_ads,4",36964.4224,124119.0,-0.7021856250856032,0.3042374107859829,
1e-07,13,p9,Inhibition / adsorption,38060.6792,98084.0,-0.611958329595041,0.3042374107859829,
1e-07,14,p1,A1,799.924595,15672.02,-0.9489584243128837,0.3137403292493207,
1e-07,14,p2,E1,25.3175626,3453.38,-0.9926687585495948,0.3137403292493207,
1e-07,14,p3,"K_ads,1",0.511060464,30.836,-0.9834264994162667,0.3137403292493207,
1e-07,14,p4,"K_ads,2",14.2664228,558.532,-0.9744572866013049,0.3137403292493207,
1e-07,14,p5,A2,41.7092376,0.7439,55.06833929291571,0.3137403292493207,
1e-07,14,p6,E2,40372.8585,40000.0,0.009321462500000053,0.3137403292493207,
1e-07,14,p7,"K_ads,3",37510.1897,17197.0,1.1812054253648894,0.3137403292493207,
1e-07,14,p8,"K_ads,4",35966.2918,124119.0,-0.7102273479483399,0.3137403292493207,
1e-07,14,p9,Inhibition / adsorption,38151.3021,98084.0,-0.611034398066963,0.3137403292493207,
1e-07,15,p1,A1,439.349563,15672.02,-0.971965990153152,0.30428206284561193,
1e-07,15,p2,E1,25.816797,3453.38,-0.9925241945572164,0.30428206284561193,
1e-07,15,p3,"K_ads,1",1.55557059,30.836,-0.9495534248929822,0.30428206284561193,
1e-07,15,p4,"K_ads,2",7.52514493,558.532,-0.9865269224860885,0.30428206284561193,
1e-07,15,p5,A2,8.81280989,0.7439,10.846766890711118,0.30428206284561193,
1e-07,15,p6,E2,48222.2097,40000.0,0.20555524249999998,0.30428206284561193,
1e-07,15,p7,"K_ads,3",27964.3244,17197.0,0.6261164389137641,0.30428206284561193,
1e-07,15,p8,"K_ads,4",34722.2527,124119.0,-0.7202503025322473,0.30428206284561193,
1e-07,15,p9,Inhibition / adsorption,34210.8362,98084.0,-0.6512087985808083,0.30428206284561193,
1e-07,16,p1,A1,0.115691607,15672.02,-0.999992617951802,0.5176324248318483,
1e-07,16,p2,E1,5.20225793,3453.38,-0.9984935750105693,0.5176324248318483,
1e-07,16,p3,"K_ads,1",0.107166414,30.836,-0.9965246330911921,0.5176324248318483,
1e-07,16,p4,"K_ads,2",0.114658969,558.532,-0.9997947136976933,0.5176324248318483,
1e-07,16,p5,A2,0.539428455,0.7439,-0.2748642895550477,0.5176324248318483,
1e-07,16,p6,E2,29312.7205,40000.0,-0.2671819875,0.5176324248318483,
1e-07,16,p7,"K_ads,3",15718.6832,17197.0,-0.08596364482177127,0.5176324248318483,
1e-07,16,p8,"K_ads,4",13079.2827,124119.0,-0.894623041597177,0.5176324248318483,
1e-07,16,p9,Inhibition / adsorption,39884.6828,98084.0,-0.5933619876840259,0.5176324248318483,
1e-07,17,p1,A1,584.826528,15672.02,-0.9626833983111303,0.3548362012125689,
1e-07,17,p2,E1,42.112153,3453.38,-0.9878055258905768,0.3548362012125689,
1e-07,17,p3,"K_ads,1",0.112195309,30.836,-0.9963615478985601,0.3548362012125689,
1e-07,17,p4,"K_ads,2",18.0637115,558.532,-0.967658591629486,0.3548362012125689,
1e-07,17,p5,A2,1.49643518,0.7439,1.0116079849442128,0.3548362012125689,
1e-07,17,p6,E2,39142.6916,40000.0,-0.021432710000000042,0.3548362012125689,
1e-07,17,p7,"K_ads,3",39349.6804,17197.0,1.2881712159097516,0.3548362012125689,
1e-07,17,p8,"K_ads,4",24723.8967,124119.0,-0.8008048993304813,0.3548362012125689,
1e-07,17,p9,Inhibition / adsorption,25186.2593,98084.0,-0.7432174534072835,0.3548362012125689,
1e-07,18,p1,A1,1053.13377,15672.02,-0.932801657348574,0.3099958459169448,
1e-07,18,p2,E1,37.6570536,3453.38,-0.9890955951560501,0.3099958459169448,
1e-07,18,p3,"K_ads,1",0.813175829,30.836,-0.9736290106044883,0.3099958459169448,
1e-07,18,p4,"K_ads,2",15.8499529,558.532,-0.9716221220986444,0.3099958459169448,
1e-07,18,p5,A2,8.45235004,0.7439,10.362212716763006,0.3099958459169448,
1e-07,18,p6,E2,40353.253,40000.0,0.008831324999999925,0.3099958459169448,
1e-07,18,p7,"K_ads,3",35731.023,17197.0,1.0777474559516196,0.3099958459169448,
1e-07,18,p8,"K_ads,4",31047.3042,124119.0,-0.7498585695985305,0.3099958459169448,
1e-07,18,p9,Inhibition / adsorption,31987.8396,98084.0,-0.6738730108886261,0.3099958459169448,
1e-07,19,p1,A1,3326.85604,15672.02,-0.7877200233281989,0.294514044095285,
1e-07,19,p2,E1,23.0796847,3453.38,-0.9933167839334217,0.294514044095285,
1e-07,19,p3,"K_ads,1",3.96350156,30.836,-0.8714651199896225,0.294514044095285,
1e-07,19,p4,"K_ads,2",14.8310106,558.532,-0.9734464442502847,0.294514044095285,
1e-07,19,p5,A2,42.9378835,0.7439,56.71996706546579,0.294514044095285,
1e-07,19,p6,E2,39887.5467,40000.0,-0.002811332500000026,0.294514044095285,
1e-07,19,p7,"K_ads,3",37474.8963,17197.0,1.1791531255451533,0.294514044095285,
1e-07,19,p8,"K_ads,4",37396.8582,124119.0,-0.6987015831580983,0.294514044095285,
1e-07,19,p9,Inhibition / adsorption,37994.7181,98084.0,-0.6126308256188573,0.294514044095285,
1e-07,20,p1,A1,0.119302554,15672.02,-0.999992387544554,0.5143821544609113,
1e-07,20,p2,E1,5.52699548,3453.38,-0.9983995403112312,0.5143821544609113,
1e-07,20,p3,"K_ads,1",0.110116784,30.836,-0.9964289536904917,0.5143821544609113,
1e-07,20,p4,"K_ads,2",0.112710997,558.532,-0.9997982013617841,0.5143821544609113,
1e-07,20,p5,A2,0.544890505,0.7439,-0.2675218376125823,0.5143821544609113,
1e-07,20,p6,E2,28758.5846,40000.0,-0.281035385,0.5143821544609113,
1e-07,20,p7,"K_ads,3",14724.7399,17197.0,-0.14376112694074544,0.5143821544609113,
1e-07,20,p8,"K_ads,4",13580.3376,124119.0,-0.8905861503879342,0.5143821544609113,
1e-07,20,p9,Inhibition / adsorption,40103.3304,98084.0,-0.5911328004567513,0.5143821544609113,
1e-07,21,p1,A1,1494.01234,15672.02,-0.9046700846476715,0.309164346542026,
1e-07,21,p2,E1,29.2226739,3453.38,-0.991537950095269,0.309164346542026,
1e-07,21,p3,"K_ads,1",0.159223084,30.836,-0.9948364546633804,0.309164346542026,
1e-07,21,p4,"K_ads,2",18.3376874,558.532,-0.9671680630653211,0.309164346542026,
1e-07,21,p5,A2,14.444033,0.7439,18.416632611910202,0.309164346542026,
1e-07,21,p6,E2,37650.7038,40000.0,-0.058732404999999925,0.309164346542026,
1e-07,21,p7,"K_ads,3",34069.4366,17197.0,0.9811267430365762,0.309164346542026,
1e-07,21,p8,"K_ads,4",33625.5787,124119.0,-0.7290859683046109,0.309164346542026,
1e-07,21,p9,Inhibition / adsorption,39927.1384,98084.0,-0.5929291382896292,0.309164346542026,
1e-07,22,p1,A1,1483.87637,15672.02,-0.9053168404583455,0.3082101089263946,
1e-07,22,p2,E1,29.2434245,3453.38,-0.9915319413154648,0.3082101089263946,
1e-07,22,p3,"K_ads,1",0.172426048,30.836,-0.99440828745622,0.3082101089263946,
1e-07,22,p4,"K_ads,2",18.6314954,558.532,-0.9666420269563786,0.3082101089263946,
1e-07,22,p5,A2,14.2665246,0.7439,18.178013980373706,0.3082101089263946,
1e-07,22,p6,E2,37651.2006,40000.0,-0.058719985000000086,0.3082101089263946,
1e-07,22,p7,"K_ads,3",34077.4137,17197.0,0.9815906088271209,0.3082101089263946,
1e-07,22,p8,"K_ads,4",33638.5001,124119.0,-0.7289818633730533,0.3082101089263946,
1e-07,22,p9,Inhibition / adsorption,39929.0491,98084.0,-0.5929096580482036,0.3082101089263946,
1e-07,23,p1,A1,0.116284298,15672.02,-0.9999925801333842,0.5232156087915436,
1e-07,23,p2,E1,5.78259845,3453.38,-0.998325525007384,0.5232156087915436,
1e-07,23,p3,"K_ads,1",0.106610556,30.836,-0.9965426593591906,0.5232156087915436,
