noise,n_experiments,parameter,name,estimate,true_value,relative_error,rms_normalized_error,seconds
1e-05,10,p1,A1,419.4620437735633,15672.02,-0.9732349726599658,0.15364174809435424,938.6906328201294
1e-05,10,p2,E1,613.3115706749146,3453.38,-0.822402524287824,0.15364174809435424,938.6906328201294
1e-05,10,p3,"K_ads,1",9.524288900695716,30.836,-0.6911308567682022,0.15364174809435424,938.6906328201294
1e-05,10,p4,"K_ads,2",180.46621729950638,558.532,-0.6768918928557246,0.15364174809435424,938.6906328201294
1e-05,10,p5,A2,0.22726068431951968,0.7439,-0.6945010292787744,0.15364174809435424,938.6906328201294
1e-05,10,p6,E2,66306.24962342117,40000.0,0.6576562405855293,0.15364174809435424,938.6906328201294
1e-05,10,p7,"K_ads,3",32437.230359221936,17197.0,0.8862144768984088,0.15364174809435424,938.6906328201294
1e-05,10,p8,"K_ads,4",125379.54027840945,124119.0,0.010155901017647963,0.15364174809435424,938.6906328201294
1e-05,10,p9,Inhibition / adsorption,74617.35545776425,98084.0,-0.2392504847093894,0.15364174809435424,938.6906328201294
1e-06,10,p1,A1,5076.275479585263,15672.02,-0.6760930958749884,0.10652202787306865,927.5292313098907
1e-06,10,p2,E1,2364.4124244674267,3453.38,-0.31533383975484114,0.10652202787306865,927.5292313098907
1e-06,10,p3,"K_ads,1",24.915327448468943,30.836,-0.19200520662638007,0.10652202787306865,927.5292313098907
1e-06,10,p4,"K_ads,2",323.04169085845626,558.532,-0.421623665504472,0.10652202787306865,927.5292313098907
1e-06,10,p5,A2,0.5727574753985134,0.7439,-0.23006119720592363,0.10652202787306865,927.5292313098907
1e-06,10,p6,E2,31318.07820880092,40000.0,-0.21704804477997705,0.10652202787306865,927.5292313098907
1e-06,10,p7,"K_ads,3",35699.44009306394,17197.0,1.0759109201060615,0.10652202787306865,927.5292313098907
1e-06,10,p8,"K_ads,4",104005.35971191665,124119.0,-0.16205125958220215,0.10652202787306865,927.5292313098907
1e-06,10,p9,Inhibition / adsorption,78144.55610197112,98084.0,-0.2032894651322222,0.10652202787306865,927.5292313098907
1e-07,10,p1,A1,890.208633219566,15672.02,-0.9431975818548236,0.10924173064718536,919.4285037517548
1e-07,10,p2,E1,1146.2012983199622,3453.38,-0.6680929123583382,0.10924173064718536,919.4285037517548
1e-07,10,p3,"K_ads,1",13.159250391375313,30.836,-0.5732504088930045,0.10924173064718536,919.4285037517548
1e-07,10,p4,"K_ads,2",194.7324371204729,558.532,-0.6513495428722563,0.10924173064718536,919.4285037517548
1e-07,10,p5,A2,0.3365651572655265,0.7439,-0.5475666658616394,0.10924173064718536,919.4285037517548
1e-07,10,p6,E2,45324.9050786318,40000.0,0.1331226269657949,0.10924173064718536,919.4285037517548
1e-07,10,p7,"K_ads,3",27959.372414277877,17197.0,0.6258284825421805,0.10924173064718536,919.4285037517548
1e-07,10,p8,"K_ads,4",121472.44020700637,124119.0,-0.021322761164637435,0.10924173064718536,919.4285037517548
1e-07,10,p9,Inhibition / adsorption,77205.74428687297,98084.0,-0.21286097338125515,0.10924173064718536,919.4285037517548
1e-05,11,p1,A1,826.3416117211601,15672.02,-0.947272807734985,0.1225846559740086,1003.8251869678497
1e-05,11,p2,E1,1372.0918223098176,3453.38,-0.6026814823999045,0.1225846559740086,1003.8251869678497
1e-05,11,p3,"K_ads,1",12.274999780647404,30.836,-0.6019263269993707,0.1225846559740086,1003.8251869678497
1e-05,11,p4,"K_ads,2",192.43536952841782,558.532,-0.6554622304032396,0.1225846559740086,1003.8251869678497
1e-05,11,p5,A2,0.3518254983131919,0.7439,-0.5270526975222586,0.1225846559740086,1003.8251869678497
1e-05,11,p6,E2,52016.90430748524,40000.0,0.30042260768713097,0.1225846559740086,1003.8251869678497
