noise,n_experiments,parameter,name,estimate,true_value,relative_error,rms_normalized_error,seconds
1e-05,10,p1,A1,98623.98090592326,15672.02,5.29299738680293,0.38996594648229044,363.9336714744568
1e-05,10,p2,E1,8184.550366146399,3453.38,1.3700115151377488,0.38996594648229044,363.9336714744568
1e-05,10,p3,"K_ads,1",77.7392220159683,30.836,1.5210540282776073,0.38996594648229044,363.9336714744568
1e-05,10,p4,"K_ads,2",368.40635731117857,558.532,-0.3404024168513558,0.38996594648229044,363.9336714744568
1e-05,10,p5,A2,0.10000271324348498,0.7439,-0.8655696824257495,0.38996594648229044,363.9336714744568
1e-05,10,p6,E2,10006.481550975608,40000.0,-0.7498379612256098,0.38996594648229044,363.9336714744568
1e-05,10,p7,"K_ads,3",50925.90891482488,17197.0,1.9613251680423842,0.38996594648229044,363.9336714744568
1e-05,10,p8,"K_ads,4",38654.713122043766,124119.0,-0.6885673174772294,0.38996594648229044,363.9336714744568
1e-05,10,p9,Inhibition / adsorption,10002.178083779898,98084.0,-0.8980243660150493,0.38996594648229044,363.9336714744568
1e-06,10,p1,A1,98623.99256566593,15672.02,5.292998130787603,0.39669472534254474,537.8513793945312
1e-06,10,p2,E1,251.8827201215614,3453.38,-0.9270619740307868,0.39669472534254474,537.8513793945312
1e-06,10,p3,"K_ads,1",78.52047795966084,30.836,1.54638986767612,0.39669472534254474,537.8513793945312
1e-06,10,p4,"K_ads,2",365.46196747297813,558.532,-0.34567407512375636,0.39669472534254474,537.8513793945312
1e-06,10,p5,A2,0.100002709395623,0.7439,-0.8655696875983021,0.39669472534254474,537.8513793945312
1e-06,10,p6,E2,10006.470858570978,40000.0,-0.7498382285357256,0.39669472534254474,537.8513793945312
1e-06,10,p7,"K_ads,3",50713.879260355934,17197.0,1.9489957120634955,0.39669472534254474,537.8513793945312
1e-06,10,p8,"K_ads,4",38336.220321358865,124119.0,-0.6911333452464259,0.39669472534254474,537.8513793945312
1e-06,10,p9,Inhibition / adsorption,10002.175209667033,98084.0,-0.8980243953176151,0.39669472534254474,537.8513793945312
1e-07,10,p1,A1,98623.99133919577,15672.02,5.292998052529014,0.40186109539574466,541.4037442207336
1e-07,10,p2,E1,111.86903437143175,3453.38,-0.967605929735091,0.40186109539574466,541.4037442207336
1e-07,10,p3,"K_ads,1",78.5317014992866,30.836,1.546753842887748,0.40186109539574466,541.4037442207336
1e-07,10,p4,"K_ads,2",365.42565730226625,558.532,-0.34573908513341006,0.40186109539574466,541.4037442207336
1e-07,10,p5,A2,0.10000270981043093,0.7439,-0.8655696870406897,0.40186109539574466,541.4037442207336
1e-07,10,p6,E2,10006.47377020175,40000.0,-0.7498381557449562,0.40186109539574466,541.4037442207336
1e-07,10,p7,"K_ads,3",50723.70291510446,17197.0,1.9495669544167276,0.40186109539574466,541.4037442207336
1e-07,10,p8,"K_ads,4",38331.631757891766,124119.0,-0.6911703143121378,0.40186109539574466,541.4037442207336
1e-07,10,p9,Inhibition / adsorption,10002.176455310797,98084.0,-0.8980243826178501,0.40186109539574466,541.4037442207336
1e-05,11,p1,A1,98627.44958871973,15672.02,5.2932187164589966,0.47541765228582866,584.265426158905
1e-05,11,p2,E1,1.6013989199211793,3453.38,-0.9995362807105151,0.47541765228582866,584.265426158905
1e-05,11,p3,"K_ads,1",84.07442049264178,30.836,1.7265021563316183,0.47541765228582866,584.265426158905
1e-05,11,p4,"K_ads,2",340.867772990907,558.532,-0.38970771058613124,0.47541765228582866,584.265426158905
1e-05,11,p5,A2,0.10000154099074814,0.7439,-0.8655712582460706,0.47541765228582866,584.265426158905
1e-05,11,p6,E2,10000.647775900847,40000.0,-0.7499838056024788,0.47541765228582866,584.265426158905
1e-05,11,p7,"K_ads,3",53173.68693708766,17197.0,2.0920327346099703,0.47541765228582866,584.265426158905
1e-05,11,p8,"K_ads,4",22502.201673679065,124119.0,-0.8187046167494173,0.47541765228582866,584.265426158905
1e-05,11,p9,Inhibition / adsorption,10000.233795366235,98084.0,-0.8980441887018654,0.47541765228582866,584.265426158905
1e-06,11,p1,A1,98625.14196063721,15672.02,5.293071471363437,0.4402961431075055,570.7842581272125
1e-06,11,p2,E1,35.76452935185415,3453.38,-0.989643616007548,0.4402961431075055,570.7842581272125
1e-06,11,p3,"K_ads,1",83.70203557010166,30.836,1.7144258519296167,0.4402961431075055,570.7842581272125
1e-06,11,p4,"K_ads,2",342.04665521299887,558.532,-0.3875970307645778,0.4402961431075055,570.7842581272125
1e-06,11,p5,A2,0.10000232092572944,0.7439,-0.865570209805445,0.4402961431075055,570.7842581272125
1e-06,11,p6,E2,10003.451313896061,40000.0,-0.7499137171525985,0.4402961431075055,570.7842581272125
1e-06,11,p7,"K_ads,3",53374.7499372344,17197.0,2.103724483179299,0.4402961431075055,570.7842581272125
1e-06,11,p8,"K_ads,4",22667.819061156,124119.0,-0.8173702731962391,0.4402961431075055,570.7842581272125
1e-06,11,p9,Inhibition / adsorption,10001.168422493689,98084.0,-0.8980346598579413,0.4402961431075055,570.7842581272125
1e-07,11,p1,A1,98627.44933265455,15672.02,5.2932187001199935,0.4391479604068454,572.2964053153992
1e-07,11,p2,E1,40.93649505851568,3453.38,-0.988145962778925,0.4391479604068454,572.2964053153992
1e-07,11,p3,"K_ads,1",83.67876229711052,30.836,1.7136711083509706,0.4391479604068454,572.2964053153992
1e-07,11,p4,"K_ads,2",342.0967517265639,558.532,-0.38750733758036443,0.4391479604068454,572.2964053153992
1e-07,11,p5,A2,0.10000154107725374,0.7439,-0.8655712581297839,0.4391479604068454,572.2964053153992
1e-07,11,p6,E2,10000.649782457207,40000.0,-0.7499837554385699,0.4391479604068454,572.2964053153992
1e-07,11,p7,"K_ads,3",53378.78718136006,17197.0,2.1039592476222633,0.4391479604068454,572.2964053153992
1e-07,11,p8,"K_ads,4",22672.508076222148,124119.0,-0.8173324948136695,0.4391479604068454,572.2964053153992
1e-07,11,p9,Inhibition / adsorption,10000.23445862359,98084.0,-0.8980441819397293,0.4391479604068454,572.2964053153992
1e-05,12,p1,A1,98626.48146183351,15672.02,5.2931569422342175,0.31619028596989524,620.9976193904877
1e-05,12,p2,E1,26.162987841125798,3453.38,-0.9924239475988377,0.31619028596989524,620.9976193904877
1e-05,12,p3,"K_ads,1",81.83694653213288,30.836,1.6539417087862527,0.31619028596989524,620.9976193904877
1e-05,12,p4,"K_ads,2",355.44405467946257,558.532,-0.3636102234438447,0.31619028596989524,620.9976193904877
